"totalListings" "totalTickets" "minQuantity" "maxQuantity" "mapDisplayType" "eventid" "timestamp"
682 1662 1 10 "section" 9220596 "03-21-2015_12.00.14"
628 1562 1 10 "section" 9220597 "03-21-2015_12.00.22"
683 1669 1 8 "section" 9220595 "03-21-2015_18.00.09"
679 1656 1 10 "section" 9220596 "03-21-2015_18.00.31"
628 1559 1 10 "section" 9220597 "03-21-2015_18.00.40"
679 1665 1 8 "section" 9220595 "03-22-2015_00.00.01"
678 1653 1 10 "section" 9220596 "03-22-2015_00.00.06"
626 1551 1 10 "section" 9220597 "03-22-2015_00.00.10"
679 1665 1 8 "section" 9220595 "03-22-2015_06.00.01"
678 1653 1 10 "section" 9220596 "03-22-2015_06.00.06"
626 1551 1 10 "section" 9220597 "03-22-2015_06.00.11"
682 1675 1 8 "section" 9220595 "03-22-2015_12.00.01"
677 1654 1 10 "section" 9220596 "03-22-2015_12.00.15"
625 1550 1 10 "section" 9220597 "03-22-2015_12.00.19"
681 1672 1 8 "section" 9220595 "03-22-2015_18.00.04"
678 1656 1 10 "section" 9220596 "03-22-2015_18.00.18"
624 1548 1 10 "section" 9220597 "03-22-2015_18.01.00"
680 1671 1 8 "section" 9220595 "03-23-2015_00.00.01"
678 1656 1 10 "section" 9220596 "03-23-2015_00.02.17"
624 1548 1 10 "section" 9220597 "03-23-2015_00.02.57"
680 1671 1 8 "section" 9220595 "03-23-2015_06.00.01"
678 1656 1 10 "section" 9220596 "03-23-2015_06.00.12"
625 1550 1 10 "section" 9220597 "03-23-2015_06.00.24"
683 1687 1 8 "section" 9220595 "03-23-2015_12.00.01"
683 1674 1 10 "section" 9220596 "03-23-2015_12.00.22"
626 1551 1 10 "section" 9220597 "03-23-2015_12.01.05"
691 1709 1 8 "section" 9220595 "03-23-2015_18.00.03"
696 1728 1 10 "section" 9220596 "03-23-2015_18.01.14"
639 1597 1 10 "section" 9220597 "03-23-2015_18.01.43"
695 1715 1 8 "section" 9220595 "03-24-2015_06.00.01"
702 1735 1 10 "section" 9220596 "03-24-2015_06.00.22"
643 1602 1 10 "section" 9220597 "03-24-2015_06.00.35"
702 1728 1 8 "section" 9220595 "03-24-2015_12.00.01"
698 1724 1 10 "section" 9220596 "03-24-2015_12.00.07"
648 1602 1 10 "section" 9220597 "03-24-2015_12.00.14"
701 1723 1 8 "section" 9220595 "03-24-2015_18.00.10"
698 1721 1 10 "section" 9220596 "03-24-2015_18.00.17"
645 1597 1 10 "section" 9220597 "03-24-2015_18.00.21"
703 1728 1 8 "section" 9220595 "03-25-2015_00.00.01"
700 1727 1 10 "section" 9220596 "03-25-2015_00.00.15"
650 1609 1 10 "section" 9220597 "03-25-2015_00.00.29"
703 1728 1 8 "section" 9220595 "03-25-2015_06.00.01"
700 1727 1 10 "section" 9220596 "03-25-2015_06.00.14"
649 1608 1 10 "section" 9220597 "03-25-2015_06.00.30"
704 1727 1 8 "section" 9220595 "03-25-2015_12.00.02"
712 1760 1 10 "section" 9220596 "03-25-2015_12.00.29"
660 1646 1 10 "section" 9220597 "03-25-2015_12.00.47"
718 1761 1 8 "section" 9220595 "03-27-2015_12.00.03"
716 1762 1 10 "section" 9220596 "03-27-2015_12.00.17"
667 1648 1 10 "section" 9220597 "03-27-2015_12.00.39"
717 1761 1 8 "section" 9220595 "03-27-2015_18.00.01"
716 1762 1 10 "section" 9220596 "03-27-2015_18.02.23"
661 1633 1 10 "section" 9220597 "03-27-2015_18.04.38"
718 1762 1 8 "section" 9220595 "03-28-2015_06.00.01"
717 1762 1 10 "section" 9220596 "03-28-2015_06.00.17"
660 1629 1 10 "section" 9220597 "03-28-2015_06.00.28"
719 1767 1 8 "section" 9220595 "03-28-2015_12.00.02"
718 1762 1 10 "section" 9220596 "03-28-2015_12.00.08"
661 1631 1 10 "section" 9220597 "03-28-2015_12.00.15"
718 1761 1 8 "section" 9220595 "03-28-2015_18.00.01"
717 1759 1 10 "section" 9220596 "03-28-2015_18.00.06"
659 1626 1 10 "section" 9220597 "03-28-2015_18.00.14"
718 1761 1 8 "section" 9220595 "03-29-2015_00.00.01"
716 1757 1 10 "section" 9220596 "03-29-2015_00.00.06"
658 1624 1 10 "section" 9220597 "03-29-2015_00.00.10"
718 1761 1 8 "section" 9220595 "03-29-2015_06.00.01"
717 1759 1 10 "section" 9220596 "03-29-2015_06.00.06"
658 1624 1 10 "section" 9220597 "03-29-2015_06.00.10"
718 1760 1 8 "section" 9220595 "03-29-2015_12.00.01"
717 1758 1 10 "section" 9220596 "03-29-2015_12.00.21"
658 1624 1 10 "section" 9220597 "03-29-2015_12.00.34"
719 1771 1 9 "section" 9220595 "03-29-2015_18.00.01"
719 1766 1 10 "section" 9220596 "03-29-2015_18.00.29"
659 1624 1 10 "section" 9220597 "03-29-2015_18.00.51"
719 1769 1 9 "section" 9220595 "03-30-2015_00.00.01"
720 1765 1 10 "section" 9220596 "03-30-2015_00.00.05"
660 1625 1 10 "section" 9220597 "03-30-2015_00.00.17"
719 1769 1 9 "section" 9220595 "03-30-2015_06.00.01"
719 1762 1 10 "section" 9220596 "03-30-2015_06.00.06"
661 1627 1 10 "section" 9220597 "03-30-2015_06.00.10"
717 1768 1 9 "section" 9220595 "03-30-2015_12.00.01"
722 1781 1 10 "section" 9220596 "03-30-2015_12.00.07"
661 1629 1 10 "section" 9220597 "03-30-2015_12.00.12"
715 1765 1 9 "section" 9220595 "03-30-2015_18.00.02"
722 1782 1 10 "section" 9220596 "03-30-2015_18.00.53"
657 1622 1 10 "section" 9220597 "03-30-2015_18.01.34"
717 1769 1 9 "section" 9220595 "03-31-2015_00.00.01"
724 1786 1 10 "section" 9220596 "03-31-2015_00.00.45"
657 1621 1 10 "section" 9220597 "03-31-2015_00.01.00"
717 1769 1 9 "section" 9220595 "03-31-2015_06.00.01"
724 1786 1 10 "section" 9220596 "03-31-2015_06.00.06"
656 1620 1 10 "section" 9220597 "03-31-2015_06.00.11"
720 1781 1 9 "section" 9220595 "03-31-2015_12.00.01"
724 1784 1 10 "section" 9220596 "03-31-2015_12.00.06"
659 1632 1 10 "section" 9220597 "03-31-2015_12.00.09"
725 1791 1 9 "section" 9220595 "03-31-2015_18.00.02"
764 1843 1 10 "section" 9220596 "03-31-2015_18.00.17"
700 1703 1 10 "section" 9220597 "03-31-2015_18.00.24"
725 1791 1 9 "section" 9220595 "04-01-2015_00.00.01"
763 1843 1 10 "section" 9220596 "04-01-2015_00.00.13"
702 1706 1 10 "section" 9220597 "04-01-2015_00.00.32"
724 1789 1 9 "section" 9220595 "04-01-2015_06.00.01"
763 1843 1 10 "section" 9220596 "04-01-2015_06.00.13"
701 1702 1 10 "section" 9220597 "04-01-2015_06.00.18"
728 1801 1 9 "section" 9220595 "04-01-2015_12.00.02"
762 1838 1 10 "section" 9220596 "04-01-2015_12.00.13"
704 1712 1 10 "section" 9220597 "04-01-2015_12.00.17"
729 1803 1 9 "section" 9220595 "04-01-2015_18.00.01"
759 1836 1 10 "section" 9220596 "04-01-2015_18.00.05"
703 1711 1 10 "section" 9220597 "04-01-2015_18.00.18"
734 1827 1 9 "section" 9220595 "04-02-2015_00.00.01"
760 1842 1 10 "section" 9220596 "04-02-2015_00.00.23"
708 1732 1 10 "section" 9220597 "04-02-2015_00.00.49"
734 1827 1 9 "section" 9220595 "04-02-2015_06.00.01"
760 1842 1 10 "section" 9220596 "04-02-2015_06.00.05"
709 1735 1 10 "section" 9220597 "04-02-2015_06.00.09"
765 1854 1 8 "section" 9220595 "04-02-2015_12.00.02"
754 1825 1 10 "section" 9220596 "04-02-2015_12.00.07"
708 1734 1 10 "section" 9220597 "04-02-2015_12.00.11"
766 1860 1 8 "section" 9220595 "04-02-2015_18.00.01"
756 1833 1 10 "section" 9220596 "04-02-2015_18.00.06"
710 1740 1 10 "section" 9220597 "04-02-2015_18.00.11"
765 1857 1 8 "section" 9220595 "04-03-2015_00.00.01"
756 1832 1 10 "section" 9220596 "04-03-2015_00.00.06"
711 1741 1 10 "section" 9220597 "04-03-2015_00.00.11"
765 1857 1 8 "section" 9220595 "04-03-2015_06.00.01"
756 1832 1 10 "section" 9220596 "04-03-2015_06.00.06"
712 1744 1 10 "section" 9220597 "04-03-2015_06.00.10"
763 1854 1 8 "section" 9220595 "04-03-2015_12.00.01"
756 1828 1 10 "section" 9220596 "04-03-2015_12.00.07"
724 1767 1 10 "section" 9220597 "04-03-2015_12.00.13"
766 1862 1 8 "section" 9220595 "04-03-2015_18.00.02"
759 1838 1 10 "section" 9220596 "04-03-2015_18.00.16"
725 1771 1 10 "section" 9220597 "04-03-2015_18.00.28"
